update,timesteps,mean_ep_return,mean_ep_len,success_rate,flip_rate,pipe_gap_violation_rate,policy_loss,value_loss,entropy,elapsed_s
129,2113536,987.2254148893425,777.955,0.17,0.0,0.0,0.006915020290762186,132.2113800048828,3.5621542930603027,59.72365379333496
130,2129920,960.8055970127501,754.565,0.22,0.0,0.0,-0.0022717800457030535,93.11555480957031,3.582815647125244,60.13176107406616
131,2146304,944.5777695703731,740.765,0.255,0.0,0.0,0.027288345620036125,103.08036804199219,3.582178831100464,60.585280418395996
132,2162688,927.7047040047056,726.145,0.285,0.0,0.0,-0.008980991318821907,104.3537368774414,3.582219362258911,60.98761796951294
133,2179072,925.422432170513,724.33,0.29,0.0,0.0,-0.007563617080450058,153.5473175048828,3.5869929790496826,61.42966556549072
134,2195456,932.8232819207627,731.84,0.27,0.0,0.0,-0.008116417564451694,69.14452362060547,3.598132371902466,61.867958784103394
135,2211840,935.1884577911686,735.44,0.255,0.0,0.0,0.0016566701233386993,134.33914184570312,3.6178674697875977,62.3221378326416
136,2228224,918.1869868243,718.61,0.3,0.0,0.005,0.01186934020370245,122.04108428955078,3.6294164657592773,62.79642152786255
137,2244608,900.4239795047876,701.16,0.33,0.0,0.005,0.01227954775094986,78.68891143798828,3.646056652069092,63.20595741271973
138,2260992,905.9855946892345,706.81,0.31,0.0,0.01,-0.02311261184513569,105.67677307128906,3.667941093444824,63.662086963653564
139,2277376,924.3863925716837,725.845,0.26,0.0,0.015,0.01432197168469429,196.8581085205078,3.691438674926758,64.10670113563538
140,2293760,933.8499741306717,734.555,0.24,0.0,0.015,-0.0013798326253890991,123.566650390625,3.7092137336730957,64.55184388160706
141,2310144,922.550945281902,723.915,0.285,0.0,0.015,0.0081561841070652,73.01535034179688,3.7371513843536377,65.0162091255188
142,2326528,906.2660053596508,711.725,0.29,0.0,0.02,0.005718388594686985,128.96600341796875,3.744112014770508,65.44877123832703
143,2342912,889.5550643586591,697.07,0.325,0.0,0.02,-0.010364344343543053,108.67018127441406,3.7457237243652344,65.90498495101929
144,2359296,885.6851451783964,697.9,0.315,0.0,0.025,0.0038832640275359154,121.25396728515625,3.757305145263672,66.40125465393066
145,2375680,872.4969127014731,687.705,0.33,0.0,0.02,-0.00828467309474945,85.77755737304688,3.783693790435791,66.86221218109131
146,2392064,871.914157888406,690.06,0.325,0.0,0.02,0.01734718680381775,150.558837890625,3.804921865463257,67.35330986976624
147,2408448,870.8437171740277,689.47,0.325,0.0,0.02,0.00164952059276402,73.74980926513672,3.8343210220336914,67.83189249038696
148,2424832,866.1922638292883,683.055,0.365,0.0,0.015,0.008347607217729092,129.4405517578125,3.865107297897339,68.309641122818
149,2441216,863.3999388997757,683.2,0.355,0.0,0.015,-0.006315405480563641,113.41834259033203,3.872058153152466,68.75870656967163
150,2457600,870.4782440434335,691.085,0.33,0.0,0.015,0.037924181669950485,119.82876586914062,3.8661656379699707,69.18390655517578
151,2473984,874.806825320766,695.99,0.33,0.0,0.015,-0.003707611933350563,101.2868881225586,3.871586322784424,69.64443922042847
152,2490368,883.5726961529402,705.88,0.305,0.0,0.015,-0.010509319603443146,88.41739654541016,3.8694934844970703,70.06966304779053
153,2506752,897.5245140042265,716.27,0.295,0.0,0.01,-0.008139073848724365,109.89537048339844,3.872976779937744,70.44817614555359
154,2523136,909.5018232864481,729.495,0.265,0.0,0.01,-0.012633567675948143,89.10193634033203,3.886843681335449,70.84966683387756
155,2539520,937.1202437686618,755.57,0.22,0.0,0.005,0.00815444253385067,144.82101440429688,3.8984904289245605,71.31451892852783
156,2555904,943.6766017999527,765.815,0.2,0.0,0.005,-0.0024437448009848595,129.8751983642578,3.918623685836792,71.71304893493652
157,2572288,946.4660282364368,770.595,0.19,0.0,0.005,0.016187841072678566,94.31301879882812,3.9378247261047363,72.18260359764099
158,2588672,949.5631276705502,778.765,0.14,0.0,0.005,0.0031551490537822247,160.78945922851562,3.9348373413085938,72.62462520599365
159,2605056,957.1675332501978,786.93,0.11,0.0,0.005,-0.010460305958986282,132.3762664794922,3.950209140777588,73.11369013786316
160,2621440,970.9459502982706,801.315,0.085,0.0,0.005,-0.0038516204804182053,97.97291564941406,3.973604202270508,73.58211493492126
161,2637824,981.8370287950751,810.985,0.06,0.0,0.005,0.008352422155439854,130.3677215576172,3.9847500324249268,74.03421306610107
162,2654208,987.2421693412148,816.59,0.05,0.0,0.005,0.00523128267377615,130.92941284179688,4.002749443054199,74.45959663391113
163,2670592,991.4877928428267,821.515,0.04,0.0,0.005,-0.0013266084715723991,113.09405517578125,4.0251665115356445,74.87894082069397
164,2686976,986.0956265631922,817.425,0.04,0.0,0.01,-0.0162409245967865,88.6705322265625,4.033933162689209,75.2983136177063
165,2703360,980.8642988116073,814.155,0.035,0.0,0.01,-0.0011562518775463104,161.05584716796875,4.048623085021973,75.68694877624512
166,2719744,979.4688066736355,811.15,0.035,0.0,0.015,-0.029507139697670937,142.88888549804688,4.060213565826416,76.14608144760132
167,2736128,980.8466089938066,811.62,0.035,0.0,0.015,-0.03129562735557556,63.061302185058594,4.068755149841309,76.5958993434906
168,2752512,980.4025167027208,811.445,0.035,0.0,0.02,-0.0240195170044899,118.112548828125,4.070368766784668,77.03595638275146
169,2768896,986.0013437516977,817.54,0.025,0.0,0.02,-0.011406918987631798,140.87278747558594,4.070508003234863,77.48775625228882
170,2785280,985.2844871291279,817.54,0.025,0.0,0.02,-0.015708595514297485,85.25636291503906,4.07802152633667,77.92662286758423
171,2801664,982.8646293439764,817.01,0.02,0.0,0.025,-0.021080533042550087,112.21923065185547,4.085221767425537,78.3486430644989
172,2818048,985.4470558135757,819.375,0.015,0.0,0.025,-0.00020452309399843216,124.25174713134766,4.094249725341797,78.69837403297424
173,2834432,986.4844019383122,819.65,0.01,0.0,0.025,-0.0009071212261915207,113.59758758544922,4.105981349945068,79.14050841331482
174,2850816,986.5547606386968,819.64,0.01,0.0,0.025,-0.014235432259738445,75.11992645263672,4.112726211547852,79.608726978302
175,2867200,989.5258217125603,819.65,0.015,0.0,0.025,0.016135714948177338,176.0686492919922,4.110669136047363,80.07967233657837
176,2883584,997.5278110239465,825.04,0.01,0.0,0.02,-0.012485237792134285,143.3133087158203,4.123318672180176,80.50758528709412
177,2899968,996.0732795689613,823.53,0.01,0.0,0.02,-0.00704761128872633,93.01163482666016,4.130522727966309,80.90260791778564
178,2916352,995.7767667491536,821.85,0.02,0.0,0.015,-0.00687760766595602,124.59759521484375,4.137932777404785,81.29349088668823
179,2932736,977.257114104412,801.075,0.06,0.0,0.01,0.017212040722370148,143.93719482421875,4.154440402984619,81.73996162414551
180,2949120,967.9502498742108,791.14,0.08,0.0,0.005,-0.01933198608458042,87.51332092285156,4.180030822753906,82.20158696174622
181,2965504,949.0865966185672,771.74,0.115,0.0,0.005,-0.01506696455180645,97.57128143310547,4.198541641235352,82.65637397766113
182,2981888,922.4074692040277,744.37,0.18,0.0,0.005,0.010054432787001133,119.40826416015625,4.214940071105957,83.1333703994751
183,2998272,900.4367087743148,723.54,0.22,0.0,0.0,-0.026646217331290245,57.859291076660156,4.2103800773620605,83.5742130279541
184,3014656,875.5467033951242,699.33,0.28,0.0,0.0,0.01142287440598011,92.24907684326172,4.240701675415039,83.99406027793884
185,3031040,864.4010675384858,687.735,0.31,0.0,0.0,0.00840617623180151,120.71440124511719,4.264068126678467,84.45613193511963
186,3047424,843.4056618242868,666.515,0.36,0.0,0.0,0.015537543222308159,100.91539764404297,4.265230178833008,84.93209385871887
187,3063808,834.5589927766787,656.87,0.395,0.0,0.0,-0.016417987644672394,94.609130859375,4.2808074951171875,85.39473366737366
188,3080192,822.1983044853674,644.355,0.425,0.0,0.0,0.0034748571924865246,80.39582824707031,4.295018196105957,85.87163734436035
189,3096576,835.0471880598485,655.525,0.415,0.0,0.0,0.021609850227832794,91.68030548095703,4.305988788604736,86.35005974769592
190,3112960,833.3546567363221,656.755,0.405,0.0,0.0,-0.005177699960768223,115.87553405761719,4.3159284591674805,86.77979803085327
191,3129344,849.768288871088,671.76,0.39,0.0,0.005,-0.01077275350689888,122.70056915283203,4.325108528137207,87.2840428352356
192,3145728,812.5927178495904,639.88,0.435,0.0,0.015,0.008587893098592758,61.540077209472656,4.331750869750977,87.72570085525513
193,3162112,795.4012717086838,625.65,0.47,0.0,0.02,0.0008025327697396278,68.38272094726562,4.341158866882324,88.15033984184265
194,3178496,785.1076538473083,615.505,0.505,0.0,0.02,-0.0019109230488538742,48.14411163330078,4.332545757293701,88.56725072860718
195,3194880,785.4701321696426,617.9,0.5,0.0,0.02,-0.0020721526816487312,88.14595031738281,4.336799621582031,88.92156100273132
196,3211264,774.5651851193702,609.24,0.505,0.0,0.025,0.02249273471534252,89.68141174316406,4.347725868225098,89.3440294265747
197,3227648,773.7556904845726,610.455,0.49,0.0,0.03,-0.04331423342227936,80.14177703857422,4.355993747711182,89.77420115470886
198,3244032,790.044118417587,625.175,0.465,0.0,0.03,0.008350296877324581,151.0017547607422,4.368854999542236,90.25674080848694
199,3260416,798.3305920889085,632.81,0.445,0.0,0.03,-0.031284257769584656,74.47227478027344,4.380985736846924,90.68994212150574
200,3276800,842.8211413605218,671.2,0.385,0.0,0.02,-0.015195751562714577,115.48124694824219,4.404961585998535,91.1452841758728
201,3293184,871.7320071879374,698.3,0.315,0.0,0.015,-0.01107398234307766,118.48217010498047,4.420781135559082,91.60687136650085
202,3309568,887.5438791051571,712.515,0.285,0.0,0.015,-0.015502016060054302,68.06239318847656,4.431194305419922,91.99231696128845
203,3325952,925.145096554308,747.91,0.205,0.0,0.015,-0.00207320274785161,167.7569122314453,4.438943386077881,92.37124490737915
204,3342336,945.9456768119583,767.875,0.16,0.0,0.015,-0.01610526069998741,96.18961334228516,4.477789402008057,92.82286643981934
205,3358720,971.7069058989903,790.665,0.125,0.0,0.01,0.005072542931884527,112.8769760131836,4.509408950805664,93.20755362510681
206,3375104,985.6041729455854,805.19,0.09,0.0,0.01,-0.015303445048630238,127.71563720703125,4.526829242706299,93.7105348110199
207,3391488,982.1658345194218,801.3,0.1,0.0,0.005,0.02406279370188713,105.16065979003906,4.552828788757324,94.18606376647949
208,3407872,975.9577467988461,795.8,0.115,0.0,0.005,0.013256510719656944,146.7727508544922,4.567161560058594,94.61431574821472
209,3424256,967.6356683069439,789.405,0.14,0.0,0.005,-0.00821885745972395,79.7525863647461,4.598834991455078,95.06589341163635
210,3440640,963.3761634533337,788.05,0.145,0.0,0.005,-0.002678130753338337,103.73747253417969,4.617906093597412,95.50205183029175
211,3457024,935.288815040871,766.14,0.18,0.0,0.005,0.0027143144980072975,142.08352661132812,4.629055023193359,95.96631479263306
212,3473408,921.8202780391567,753.77,0.21,0.0,0.005,0.020122041925787926,70.94400787353516,4.638115882873535,96.41765761375427
213,3489792,892.5765517430211,727.335,0.275,0.0,0.005,0.01684432104229927,101.97344207763672,4.66091775894165,96.79702854156494
